source,live_url,title,date,tier,decision,target_url,note
index.qmd,/,Home,,programme,keep,,Rewritten around the habitat-gradient hero; highlights derived from data/news.yml
about.qmd,/about.html,About me,,programme,keep,,Affiliation and email move to _variables.yml
consultancy.qmd,/consultancy.html,Consultancy,,programme,keep,,Absorbs the ECDC e-learning page
cv.qmd,/cv.pdf,Curriculum Vitae,,programme,keep,,Direct navbar link to the PDF
lassa.qmd,/lassa.html,Lassa Fever,,programme,keep,,Split narrative into Sierra Leone host ecology and Nigeria human epidemiology
lassa/SCAPES.qmd,/lassa/SCAPES.html,SCAPES,2025-09-24,programme,keep,,Programme page for the Nigeria human epidemiology strand; status needs updating as the Penn State role ends
arha.qmd,/arha.html,Project ArHa,,programme,keep,,Hosts the globe component in step 3
rodent_ecology.qmd,/rodent_ecology.html,Rodent Ecology,,programme,keep,,
rodent_ecology/sintring.qmd,/rodent_ecology/sintring.html,Microbial sensors and functional connectivity in Fennoscandian rodents,2026-09-01,programme,keep,,The Uppsala programme; now current rather than projected
open_science.qmd,/open_science.html,Open Science and Data Tools,,programme,keep,,
policy.qmd,/policy.html,Strategy and Policy,,programme,keep,,
lassa/rodent_trapping.qmd,/lassa/rodent_trapping.html,Land use gradients drive spatial variation in Lassa fever host communities,2025-09-23,output,keep,,Has its own figure; source of the gradient idea
lassa/rodent_network.qmd,/lassa/rodent_network.html,Contact networks of small mammals,2025-09-23,output,keep,,
lassa/lassa_urbanisation.qmd,/lassa/lassa_urbanisation.html,The socio-economic shield limits Lassa virus spillover in urban West Africa,2025-12-17,output,keep,,Published in Epidemiology and Infection; update status tag
lassa/scapes_human_serosurvey.qmd,/lassa/scapes_human_serosurvey.html,Local heterogeneity in Lassa fever serology in rural Nigeria,2026-05-21,output,keep,,
lassa/rodent_trapping_review.qmd,/lassa/rodent_trapping_review.html,Rodent trapping studies as an overlooked information source,2023-01-27,output,keep,,Has data and a figure
lassa/lassa_underreporting.qmd,/lassa/lassa_underreporting.html,Lassa fever cases suffer from severe under-reporting,2022-11-22,output,keep,,Has open data; feeds the case figure
lassa/lassa_fever_chapter.qmd,/lassa/lassa_fever_chapter.html,Book chapter: a comprehensive One Health review of Lassa fever,2025-09-23,output,retire,/lassa.html,Becomes a publications-list line once the chapter is out
lassa/lassa_phylogenetics.qmd,/lassa/lassa_phylogenetics.html,Inference from phylogeography and molecular epidemiology of Lassa virus is limited,2022-10-01,output,retire,/lassa.html,Publications list
lassa/one_health.qmd,/lassa/one_health.html,The niche of One Health approaches in Lassa fever surveillance and control,2021-04-24,output,retire,/lassa.html,Publications list
lassa/lips_assay.qmd,/lassa/lips_assay.html,Development of a species agnostic assay for Lassa mammarenavirus,2022-10-01,output,retire,/lassa.html,In preparation since 2022; retire unless the assay work is being published
lassa/rodent_activity.qmd,/lassa/rodent_activity.html,Investigating rodent activity within houses in eastern Sierra Leone,2022-10-01,output,retire,/lassa.html,In preparation since 2022
lassa/web_app.qmd,/lassa/web_app.html,A web-based application to explore rodent trapping data,2022-11-02,output,retire,/open_science.html,Retire if superseded by the ArHa app; otherwise merge into open_science
arha/arena_hanta.qmd,/arha/arena_hanta.html,Project ArHa: a global database of arenaviruses and hantaviruses,2025-09-24,output,keep,,Candidate home for the globe
arha/reservoir_trait.qmd,/arha/reservoir_trait.html,Viral reservoir status in small mammals emerges as a predictable life-history trait,2026-06-03,output,keep,,Synanthropy result behind the landing-page organising idea
rodent_ecology/lancet_pillars_view.qmd,/rodent_ecology/lancet_pillars_view.html,Reducing the threats of rodent-borne zoonoses: the three pillars,2025-08-26,output,keep,,
open_science/map_liberator.qmd,/open_science/map_liberator.html,Map Liberator,2026-01-26,output,keep,,Has an app
